                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.5286,                 2.8181,                 1.6061,                0.58009,                0.10162,                0.30728,                0.16337,                 2.6115,                 3.6903,                 2.1276,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                  1.262,                 1.5928,                 1.5347,                0.58009,                0.10162,                0.30728,                0.16337,                 2.6115,                 3.6903,                 2.1276,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.74101,                  1.172,                 1.2552,                0.58009,                0.10162,                0.30728,                0.16337,                 2.6115,                 3.6903,                 2.1276,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.4187,                 2.4638,                  1.622,                0.74645,                    0.1,                 0.3152,                 0.1618,                 2.6354,                 3.5191,                 2.1127,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.2772,                 2.7468,                 1.6517,                0.74645,                    0.1,                 0.3152,                 0.1618,                 2.6354,                 3.5191,                 2.1127,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.1095,                 1.3545,                  1.454,                0.74645,                    0.1,                 0.3152,                 0.1618,                 2.6354,                 3.5191,                 2.1127,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                  1.218,                 3.0847,                 1.6442,                0.76049,                0.11667,                0.31557,                0.16412,                  2.643,                 3.5613,                 2.1395,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.93014,                 1.8167,                 1.3987,                0.76049,                0.11667,                0.31557,                0.16412,                  2.643,                 3.5613,                 2.1395,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.91621,                 1.3024,                 1.2639,                0.76049,                0.11667,                0.31557,                0.16412,                  2.643,                 3.5613,                 2.1395,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.93314,                 1.7125,                 1.4753,                0.75631,                0.28333,                0.32872,                0.16557,                 2.6286,                 3.5329,                 2.1211,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                   1.19,                  2.297,                 1.5503,                0.75631,                0.28333,                0.32872,                0.16557,                 2.6286,                 3.5329,                 2.1211,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.1962,                 1.9353,                 1.4515,                0.75631,                0.28333,                0.32872,                0.16557,                 2.6286,                 3.5329,                 2.1211,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.87217,                 1.5396,                 1.2706,                0.75479,                0.28333,                 0.3225,                0.16168,                 2.6285,                 3.5947,                 2.1249,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                  1.019,                 1.6105,                 1.3651,                0.75479,                0.28333,                 0.3225,                0.16168,                 2.6285,                 3.5947,                 2.1249,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.85876,                 1.0299,                 1.2642,                0.75479,                0.28333,                 0.3225,                0.16168,                 2.6285,                 3.5947,                 2.1249,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 1.4707,                 1.9084,                 1.6006,                0.75995,                0.28333,                0.31607,                0.16464,                 2.6313,                 3.5546,                 2.1307,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.3934,                 2.2702,                 1.7095,                0.75995,                0.28333,                0.31607,                0.16464,                 2.6313,                 3.5546,                 2.1307,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.4108,                 3.4003,                 1.6279,                0.75995,                0.28333,                0.31607,                0.16464,                 2.6313,                 3.5546,                 2.1307,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 1.1398,                 1.4923,                 1.6318,                0.60983,                0.28333,                0.32462,                0.16603,                 2.6233,                 3.6668,                 2.1242,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.1817,                 2.1372,                 1.5036,                0.60983,                0.28333,                0.32462,                0.16603,                 2.6233,                 3.6668,                 2.1242,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.99651,                 1.7765,                 1.3928,                0.60983,                0.28333,                0.32462,                0.16603,                 2.6233,                 3.6668,                 2.1242,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 1.1444,                  1.338,                  1.427,                0.60695,                0.28333,                0.29064,                0.16148,                 2.6197,                 3.6729,                 2.1353,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.0374,                 2.0511,                 1.4135,                0.60695,                0.28333,                0.29064,                0.16148,                 2.6197,                 3.6729,                 2.1353,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.4128,                 2.6631,                 1.5967,                0.60695,                0.28333,                0.29064,                0.16148,                 2.6197,                 3.6729,                 2.1353,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 1.0326,                 2.0648,                 1.3705,                0.59486,                0.30278,                0.31955,                0.15524,                 2.6105,                 3.6188,                 2.1269,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 1.2689,                 1.5697,                 1.5974,                0.59486,                0.30278,                0.31955,                0.15524,                 2.6105,                 3.6188,                 2.1269,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.85071,                 1.1446,                 1.2083,                0.59486,                0.30278,                0.31955,                0.15524,                 2.6105,                 3.6188,                 2.1269,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.99035,                 1.5767,                 1.4157,                0.58209,                0.30309,                0.31999,                0.16599,                 2.6252,                 3.6487,                 2.1498,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 1.3693,                 1.6361,                 1.6369,                0.58209,                0.30309,                0.31999,                0.16599,                 2.6252,                 3.6487,                 2.1498,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 1.3009,                 1.9567,                   1.49,                0.58209,                0.30309,                0.31999,                0.16599,                 2.6252,                 3.6487,                 2.1498,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 1.0649,                 1.4861,                  1.425,                0.57064,                0.28333,                 0.2935,                0.16563,                 2.6245,                 3.6475,                 2.1483,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 1.0672,                 1.4826,                 1.3509,                0.57064,                0.28333,                 0.2935,                0.16563,                 2.6245,                 3.6475,                 2.1483,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 1.5561,                 1.8239,                 1.9032,                0.57064,                0.28333,                 0.2935,                0.16563,                 2.6245,                 3.6475,                 2.1483,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.94064,                 1.2026,                 1.3086,                0.55542,                0.28333,                0.29158,                0.16482,                 2.6157,                 3.6337,                 2.1404,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.98408,                 1.1777,                 1.3805,                0.55542,                0.28333,                0.29158,                0.16482,                 2.6157,                 3.6337,                 2.1404,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.0096,                 1.3466,                 1.3422,                0.55542,                0.28333,                0.29158,                0.16482,                 2.6157,                 3.6337,                 2.1404,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 1.1347,                 1.5844,                  1.516,                0.55542,                0.28333,                0.29158,                0.16482,                 2.6157,                 3.6337,                 2.1404,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 1.2651,                 2.1827,                 1.5056,                0.55519,                0.28333,                0.29362,                0.16546,                  2.567,                 3.6176,                 2.0919,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.0648,                 2.0688,                 1.4716,                0.55519,                0.28333,                0.29362,                0.16546,                  2.567,                 3.6176,                 2.0919,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.98968,                 1.1638,                  1.362,                0.55519,                0.28333,                0.29362,                0.16546,                  2.567,                 3.6176,                 2.0919,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.99451,                 1.1081,                 1.4904,                0.55519,                0.28333,                0.29362,                0.16546,                  2.567,                 3.6176,                 2.0919,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 1.1267,                 1.2221,                 1.4653,                0.55762,                0.28333,                 0.2946,                 0.1657,                 2.5181,                 3.6462,                 2.0782,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.96487,                 1.3083,                  1.429,                0.55762,                0.28333,                 0.2946,                 0.1657,                 2.5181,                 3.6462,                 2.0782,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 1.2823,                 1.5101,                 1.7415,                0.55762,                0.28333,                 0.2946,                 0.1657,                 2.5181,                 3.6462,                 2.0782,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.80932,                0.89824,                 1.2015,                0.55762,                0.28333,                 0.2946,                 0.1657,                 2.5181,                 3.6462,                 2.0782,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.99291,                 1.3818,                 1.5769,                0.57701,                0.11667,                0.29227,                0.16497,                 2.4663,                 3.6901,                 2.0795,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.85624,                 1.0951,                 1.3602,                0.57701,                0.11667,                0.29227,                0.16497,                 2.4663,                 3.6901,                 2.0795,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.98696,                 1.0285,                 1.3222,                0.57701,                0.11667,                0.29227,                0.16497,                 2.4663,                 3.6901,                 2.0795,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.84637,                 1.1504,                  1.136,                0.57701,                0.11667,                0.29227,                0.16497,                 2.4663,                 3.6901,                 2.0795,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.86416,                 1.2226,                 1.1174,                0.58012,                0.11667,                0.29515,                 0.1625,                 2.3932,                 3.7191,                 2.0446,             2.3444e-06,             2.3444e-06,             2.3444e-06
